,day_type,name,time,waiting_time
354,1,Baron1898(Singleriders),08:30:00,0.0
355,1,Baron1898(Singleriders),08:35:00,0.0
356,1,Baron1898(Singleriders),08:40:00,0.0
357,1,Baron1898(Singleriders),08:45:00,0.0
358,1,Baron1898(Singleriders),08:50:00,0.0
359,1,Baron1898(Singleriders),08:55:00,0.0
360,1,Baron1898(Singleriders),09:00:00,0.0
361,1,Baron1898(Singleriders),09:05:00,0.0
362,1,Baron1898(Singleriders),09:10:00,0.0
363,1,Baron1898(Singleriders),09:15:00,0.0
364,1,Baron1898(Singleriders),09:20:00,0.0
365,1,Baron1898(Singleriders),09:25:00,0.0
366,1,Baron1898(Singleriders),09:30:00,0.0
367,1,Baron1898(Singleriders),09:35:00,0.0
368,1,Baron1898(Singleriders),09:40:00,0.0
369,1,Baron1898(Singleriders),09:45:00,0.0
370,1,Baron1898(Singleriders),09:50:00,0.0
371,1,Baron1898(Singleriders),09:55:00,5.0
372,1,Baron1898(Singleriders),10:00:00,5.0
373,1,Baron1898(Singleriders),10:05:00,5.0
374,1,Baron1898(Singleriders),10:10:00,5.0
375,1,Baron1898(Singleriders),10:15:00,5.0
376,1,Baron1898(Singleriders),10:20:00,5.0
377,1,Baron1898(Singleriders),10:25:00,5.0
378,1,Baron1898(Singleriders),10:30:00,5.0
379,1,Baron1898(Singleriders),10:35:00,5.0
380,1,Baron1898(Singleriders),10:40:00,5.0
381,1,Baron1898(Singleriders),10:45:00,5.0
382,1,Baron1898(Singleriders),10:50:00,5.0
383,1,Baron1898(Singleriders),10:55:00,5.0
384,1,Baron1898(Singleriders),11:00:00,5.0
385,1,Baron1898(Singleriders),11:05:00,5.0
386,1,Baron1898(Singleriders),11:10:00,5.0
387,1,Baron1898(Singleriders),11:15:00,5.0
388,1,Baron1898(Singleriders),11:20:00,5.0
389,1,Baron1898(Singleriders),11:25:00,5.0
390,1,Baron1898(Singleriders),11:30:00,5.0
391,1,Baron1898(Singleriders),11:35:00,5.0
392,1,Baron1898(Singleriders),11:40:00,5.0
393,1,Baron1898(Singleriders),11:45:00,5.0
394,1,Baron1898(Singleriders),11:50:00,5.0
395,1,Baron1898(Singleriders),11:55:00,5.0
396,1,Baron1898(Singleriders),12:00:00,5.0
397,1,Baron1898(Singleriders),12:05:00,5.0
398,1,Baron1898(Singleriders),12:10:00,5.0
399,1,Baron1898(Singleriders),12:15:00,5.0
400,1,Baron1898(Singleriders),12:20:00,5.0
401,1,Baron1898(Singleriders),12:25:00,5.0
402,1,Baron1898(Singleriders),12:30:00,5.0
403,1,Baron1898(Singleriders),12:35:00,5.0
404,1,Baron1898(Singleriders),12:40:00,5.0
405,1,Baron1898(Singleriders),12:45:00,5.0
406,1,Baron1898(Singleriders),12:50:00,5.0
407,1,Baron1898(Singleriders),12:55:00,5.0
408,1,Baron1898(Singleriders),13:00:00,5.0
409,1,Baron1898(Singleriders),13:05:00,5.0
410,1,Baron1898(Singleriders),13:10:00,5.0
411,1,Baron1898(Singleriders),13:15:00,5.0
412,1,Baron1898(Singleriders),13:20:00,5.0
413,1,Baron1898(Singleriders),13:25:00,5.0
414,1,Baron1898(Singleriders),13:30:00,5.0
415,1,Baron1898(Singleriders),13:35:00,5.0
416,1,Baron1898(Singleriders),13:40:00,0.0
417,1,Baron1898(Singleriders),13:45:00,0.0
418,1,Baron1898(Singleriders),13:50:00,0.0
419,1,Baron1898(Singleriders),13:55:00,0.0
420,1,Baron1898(Singleriders),14:00:00,0.0
421,1,Baron1898(Singleriders),14:05:00,0.0
422,1,Baron1898(Singleriders),14:10:00,0.0
423,1,Baron1898(Singleriders),14:15:00,0.0
424,1,Baron1898(Singleriders),14:20:00,0.0
425,1,Baron1898(Singleriders),14:25:00,0.0
426,1,Baron1898(Singleriders),14:30:00,0.0
427,1,Baron1898(Singleriders),14:35:00,0.0
428,1,Baron1898(Singleriders),14:40:00,0.0
429,1,Baron1898(Singleriders),14:45:00,0.0
430,1,Baron1898(Singleriders),14:50:00,0.0
431,1,Baron1898(Singleriders),14:55:00,0.0
432,1,Baron1898(Singleriders),15:00:00,0.0
433,1,Baron1898(Singleriders),15:05:00,0.0
434,1,Baron1898(Singleriders),15:10:00,0.0
435,1,Baron1898(Singleriders),15:15:00,0.0
436,1,Baron1898(Singleriders),15:20:00,0.0
437,1,Baron1898(Singleriders),15:25:00,0.0
438,1,Baron1898(Singleriders),15:30:00,0.0
439,1,Baron1898(Singleriders),15:35:00,0.0
440,1,Baron1898(Singleriders),15:40:00,0.0
441,1,Baron1898(Singleriders),15:45:00,0.0
442,1,Baron1898(Singleriders),15:50:00,0.0
443,1,Baron1898(Singleriders),15:55:00,0.0
444,1,Baron1898(Singleriders),16:00:00,0.0
445,1,Baron1898(Singleriders),16:05:00,0.0
446,1,Baron1898(Singleriders),16:10:00,5.0
447,1,Baron1898(Singleriders),16:15:00,5.0
448,1,Baron1898(Singleriders),16:20:00,5.0
449,1,Baron1898(Singleriders),16:25:00,5.0
450,1,Baron1898(Singleriders),16:30:00,5.0
451,1,Baron1898(Singleriders),16:35:00,5.0
452,1,Baron1898(Singleriders),16:40:00,5.0
453,1,Baron1898(Singleriders),16:45:00,5.0
454,1,Baron1898(Singleriders),16:50:00,5.0
455,1,Baron1898(Singleriders),16:55:00,5.0
456,1,Baron1898(Singleriders),17:00:00,5.0
457,1,Baron1898(Singleriders),17:05:00,5.0
458,1,Baron1898(Singleriders),17:10:00,5.0
459,1,Baron1898(Singleriders),17:15:00,5.0
460,1,Baron1898(Singleriders),17:20:00,0.0
461,1,Baron1898(Singleriders),17:25:00,0.0
462,1,Baron1898(Singleriders),17:30:00,0.0
463,1,Baron1898(Singleriders),17:35:00,0.0
464,1,Baron1898(Singleriders),17:40:00,0.0
465,1,Baron1898(Singleriders),17:45:00,0.0
466,1,Baron1898(Singleriders),17:50:00,0.0
467,1,Baron1898(Singleriders),17:55:00,0.0
468,1,Baron1898(Singleriders),18:00:00,0.0
469,1,Baron1898(Singleriders),18:05:00,0.0
470,1,Baron1898(Singleriders),18:10:00,0.0
471,1,Baron1898(Singleriders),18:15:00,0.0
472,1,Bobbaan,08:30:00,0.0
473,1,Bobbaan,08:35:00,0.0
474,1,Bobbaan,08:40:00,0.0
475,1,Bobbaan,08:45:00,0.0
476,1,Bobbaan,08:50:00,0.0
477,1,Bobbaan,08:55:00,0.0
478,1,Bobbaan,09:00:00,0.0
479,1,Bobbaan,09:05:00,0.0
480,1,Bobbaan,09:10:00,0.0
481,1,Bobbaan,09:15:00,0.0
482,1,Bobbaan,09:20:00,0.0
483,1,Bobbaan,09:25:00,0.0
484,1,Bobbaan,09:30:00,0.0
485,1,Bobbaan,09:35:00,0.0
486,1,Bobbaan,09:40:00,0.0
487,1,Bobbaan,09:45:00,0.0
488,1,Bobbaan,09:50:00,0.0
489,1,Bobbaan,09:55:00,0.0
490,1,Bobbaan,10:00:00,0.0
491,1,Bobbaan,10:05:00,0.0
492,1,Bobbaan,10:10:00,5.0
493,1,Bobbaan,10:15:00,5.0
494,1,Bobbaan,10:20:00,5.0
495,1,Bobbaan,10:25:00,5.0
496,1,Bobbaan,10:30:00,10.0
497,1,Bobbaan,10:35:00,10.0
498,1,Bobbaan,10:40:00,10.0
499,1,Bobbaan,10:45:00,25.0
500,1,Bobbaan,10:50:00,25.0
501,1,Bobbaan,10:55:00,30.0
502,1,Bobbaan,11:00:00,30.0
503,1,Bobbaan,11:05:00,30.0
504,1,Bobbaan,11:10:00,25.0
505,1,Bobbaan,11:15:00,20.0
506,1,Bobbaan,11:20:00,25.0
507,1,Bobbaan,11:25:00,25.0
508,1,Bobbaan,11:30:00,25.0
509,1,Bobbaan,11:35:00,25.0
510,1,Bobbaan,11:40:00,25.0
511,1,Bobbaan,11:45:00,25.0
512,1,Bobbaan,11:50:00,20.0
513,1,Bobbaan,11:55:00,20.0
514,1,Bobbaan,12:00:00,15.0
515,1,Bobbaan,12:05:00,15.0
516,1,Bobbaan,12:10:00,10.0
517,1,Bobbaan,12:15:00,5.0
518,1,Bobbaan,12:20:00,5.0
519,1,Bobbaan,12:25:00,5.0
520,1,Bobbaan,12:30:00,5.0
521,1,Bobbaan,12:35:00,5.0
522,1,Bobbaan,12:40:00,5.0
