;date;hour;name;waiting_time;;gemiddelde wachttijd;standaardafwijking;gemiddelde/dag
162;06/11/2016;12:10:00;HalveMaen;5;;5,63;4,17;
163;06/11/2016;12:15:00;HalveMaen;5;;6,25;3,54;
164;06/11/2016;12:20:00;HalveMaen;0;;5,63;4,17;
165;06/11/2016;12:25:00;HalveMaen;5;;6,88;2,59;
166;06/11/2016;12:30:00;HalveMaen;5;;7,50;3,78;
167;06/11/2016;12:35:00;HalveMaen;5;;6,88;4,58;
168;06/11/2016;12:40:00;HalveMaen;5;;6,88;4,58;
169;06/11/2016;12:45:00;HalveMaen;5;;6,88;4,58;
170;06/11/2016;12:50:00;HalveMaen;5;;6,88;4,58;
171;06/11/2016;12:55:00;HalveMaen;5;;6,88;4,58;
172;06/11/2016;13:00:00;HalveMaen;5;;6,88;4,58;
173;06/11/2016;13:05:00;HalveMaen;5;;7,50;5,35;
174;06/11/2016;13:10:00;HalveMaen;5;;7,50;5,35;
175;06/11/2016;13:15:00;HalveMaen;5;;8,13;6,51;
176;06/11/2016;13:20:00;HalveMaen;5;;8,13;6,51;
177;06/11/2016;13:25:00;HalveMaen;5;;8,13;6,51;
178;06/11/2016;13:30:00;HalveMaen;5;;8,13;6,51;
179;06/11/2016;13:35:00;HalveMaen;5;;8,13;6,51;
180;06/11/2016;13:40:00;HalveMaen;5;;8,13;6,51;
181;06/11/2016;13:45:00;HalveMaen;5;;8,13;6,51;
182;06/11/2016;13:50:00;HalveMaen;0;;7,50;7,07;
183;06/11/2016;13:55:00;HalveMaen;0;;6,88;5,94;
184;06/11/2016;14:00:00;HalveMaen;0;;6,88;5,94;
185;06/11/2016;14:05:00;HalveMaen;0;;8,13;5,30;
186;06/11/2016;14:10:00;HalveMaen;5;;8,75;4,43;
187;06/11/2016;14:15:00;HalveMaen;5;;8,75;4,43;
188;06/11/2016;14:20:00;HalveMaen;5;;8,75;4,43;
189;06/11/2016;14:25:00;HalveMaen;5;;8,75;4,43;
190;06/11/2016;14:30:00;HalveMaen;5;;8,13;4,58;
191;06/11/2016;14:35:00;HalveMaen;5;;8,13;4,58;
192;06/11/2016;14:40:00;HalveMaen;5;;8,13;4,58;
193;06/11/2016;14:45:00;HalveMaen;5;;8,13;4,58;
194;06/11/2016;14:50:00;HalveMaen;5;;8,13;4,58;
195;06/11/2016;14:55:00;HalveMaen;5;;8,13;4,58;
196;06/11/2016;15:00:00;HalveMaen;5;;8,13;4,58;
197;06/11/2016;15:05:00;HalveMaen;5;;8,13;4,58;
198;06/11/2016;15:10:00;HalveMaen;5;;8,13;4,58;
199;06/11/2016;15:15:00;HalveMaen;5;;8,13;4,58;
200;06/11/2016;15:20:00;HalveMaen;5;;8,13;4,58;
201;06/11/2016;15:25:00;HalveMaen;5;;8,13;4,58;
202;06/11/2016;15:30:00;HalveMaen;5;;8,13;4,58;
203;06/11/2016;15:35:00;HalveMaen;5;;8,75;5,82;
204;06/11/2016;15:40:00;HalveMaen;5;;8,75;5,82;
205;06/11/2016;15:45:00;HalveMaen;5;;8,75;5,82;
206;06/11/2016;15:50:00;HalveMaen;5;;8,75;5,82;
207;06/11/2016;15:55:00;HalveMaen;5;;8,75;5,82;
208;06/11/2016;16:00:00;HalveMaen;5;;8,13;6,51;
209;06/11/2016;16:05:00;HalveMaen;5;;8,13;6,51;
210;06/11/2016;16:10:00;HalveMaen;5;;8,13;6,51;
211;06/11/2016;16:15:00;HalveMaen;5;;8,13;6,51;
212;06/11/2016;16:20:00;HalveMaen;5;;8,13;6,51;
213;06/11/2016;16:25:00;HalveMaen;5;;7,50;6,55;
214;06/11/2016;16:30:00;HalveMaen;0;;6,88;7,04;
215;06/11/2016;16:35:00;HalveMaen;0;;6,88;7,04;
216;06/11/2016;16:40:00;HalveMaen;0;;6,88;7,04;
217;06/11/2016;16:45:00;HalveMaen;0;;5,63;4,96;
218;06/11/2016;16:50:00;HalveMaen;0;;5,63;4,96;
219;06/11/2016;16:55:00;HalveMaen;0;;5,63;4,96;
220;06/11/2016;17:00:00;HalveMaen;0;;4,38;5,63;
221;06/11/2016;17:05:00;HalveMaen;0;;4,38;5,63;
222;06/11/2016;17:10:00;HalveMaen;0;;4,38;5,63;
223;06/11/2016;17:15:00;HalveMaen;0;;3,75;5,82;
224;06/11/2016;17:20:00;HalveMaen;0;;3,75;5,82;
225;06/11/2016;17:25:00;HalveMaen;0;;3,75;5,82;
226;06/11/2016;17:30:00;HalveMaen;0;;1,88;3,72;
227;06/11/2016;17:35:00;HalveMaen;0;;1,88;3,72;
228;06/11/2016;17:40:00;HalveMaen;0;;1,88;3,72;
229;06/11/2016;17:45:00;HalveMaen;0;;1,88;3,72;
230;06/11/2016;17:50:00;HalveMaen;0;;1,25;3,54;
231;06/11/2016;17:55:00;HalveMaen;0;;1,25;3,54;
232;06/11/2016;18:00:00;HalveMaen;0;;1,25;3,54;
233;06/11/2016;18:05:00;HalveMaen;0;;0,00;0,00;
234;06/11/2016;18:10:00;HalveMaen;0;;0,00;0,00;
235;06/11/2016;18:15:00;HalveMaen;0;;0,00;0,00;
236;06/11/2016;08:30:00;OudeTuffer;0;;0,00;0,00;
237;06/11/2016;08:35:00;OudeTuffer;0;;0,00;0,00;
238;06/11/2016;08:40:00;OudeTuffer;0;;0,00;0,00;
239;06/11/2016;08:45:00;OudeTuffer;0;;0,00;0,00;
240;06/11/2016;08:50:00;OudeTuffer;0;;0,00;0,00;
241;06/11/2016;08:55:00;OudeTuffer;0;;0,00;0,00;
242;06/11/2016;09:00:00;OudeTuffer;0;;0,00;0,00;
243;06/11/2016;09:05:00;OudeTuffer;0;;0,00;0,00;
244;06/11/2016;09:10:00;OudeTuffer;0;;0,00;0,00;
245;06/11/2016;09:15:00;OudeTuffer;0;;0,00;0,00;
246;06/11/2016;09:20:00;OudeTuffer;0;;0,00;0,00;
247;06/11/2016;09:25:00;OudeTuffer;0;;0,00;0,00;
248;06/11/2016;09:30:00;OudeTuffer;0;;0,00;0,00;
249;06/11/2016;09:35:00;OudeTuffer;0;;0,00;0,00;
250;06/11/2016;09:40:00;OudeTuffer;0;;0,00;0,00;
251;06/11/2016;09:45:00;OudeTuffer;0;;0,00;0,00;
252;06/11/2016;09:50:00;OudeTuffer;0;;0,00;0,00;
253;06/11/2016;09:55:00;OudeTuffer;0;;0,00;0,00;
254;06/11/2016;10:00:00;OudeTuffer;0;;0,00;0,00;
255;06/11/2016;10:05:00;OudeTuffer;0;;0,63;1,77;
256;06/11/2016;10:10:00;OudeTuffer;0;;0,63;1,77;
257;06/11/2016;10:15:00;OudeTuffer;0;;0,63;1,77;
258;06/11/2016;10:20:00;OudeTuffer;0;;0,63;1,77;
259;06/11/2016;10:25:00;OudeTuffer;0;;0,63;1,77;
260;06/11/2016;10:30:00;OudeTuffer;0;;0,63;1,77;
261;06/11/2016;10:35:00;OudeTuffer;0;;1,25;2,31;
262;06/11/2016;10:40:00;OudeTuffer;0;;3,13;3,72;
263;06/11/2016;10:45:00;OudeTuffer;0;;4,38;5,63;
264;06/11/2016;10:50:00;OudeTuffer;5;;9,38;4,96;
265;06/11/2016;10:55:00;OudeTuffer;5;;10,63;6,78;
266;06/11/2016;11:00:00;OudeTuffer;0;;10,63;7,76;
267;06/11/2016;11:05:00;OudeTuffer;0;;10,63;7,76;
268;06/11/2016;11:10:00;OudeTuffer;0;;13,13;9,98;
269;06/11/2016;11:15:00;OudeTuffer;0;;13,75;10,61;
270;06/11/2016;11:20:00;OudeTuffer;0;;13,75;10,61;
271;06/11/2016;11:25:00;OudeTuffer;5;;15,00;10,35;
272;06/11/2016;11:30:00;OudeTuffer;5;;15,63;9,80;
273;06/11/2016;11:35:00;OudeTuffer;0;;15,63;10,50;
274;06/11/2016;11:40:00;OudeTuffer;0;;15,00;10,00;
275;06/11/2016;11:45:00;OudeTuffer;0;;15,63;10,16;
276;06/11/2016;11:50:00;OudeTuffer;0;;15,63;10,16;
277;06/11/2016;11:55:00;OudeTuffer;10;;16,88;8,43;
278;06/11/2016;12:00:00;OudeTuffer;10;;16,88;8,43;
279;06/11/2016;12:05:00;OudeTuffer;10;;16,88;8,43;
280;06/11/2016;12:10:00;OudeTuffer;10;;16,88;8,43;
281;06/11/2016;12:15:00;OudeTuffer;10;;18,75;7,44;
282;06/11/2016;12:20:00;OudeTuffer;10;;19,38;7,76;
283;06/11/2016;12:25:00;OudeTuffer;10;;18,13;7,04;
284;06/11/2016;12:30:00;OudeTuffer;10;;18,13;7,04;
285;06/11/2016;12:35:00;OudeTuffer;10;;20,00;9,26;
286;06/11/2016;12:40:00;OudeTuffer;10;;20,00;9,26;
287;06/11/2016;12:45:00;OudeTuffer;10;;19,38;9,80;
288;06/11/2016;12:50:00;OudeTuffer;10;;18,75;10,94;
289;06/11/2016;12:55:00;OudeTuffer;10;;18,75;10,94;
290;06/11/2016;13:00:00;OudeTuffer;10;;18,75;10,94;
291;06/11/2016;13:05:00;OudeTuffer;10;;18,13;11,63;
292;06/11/2016;13:10:00;OudeTuffer;10;;17,50;11,34;
293;06/11/2016;13:15:00;OudeTuffer;10;;16,25;10,94;
294;06/11/2016;13:20:00;OudeTuffer;10;;15,63;10,84;
295;06/11/2016;13:25:00;OudeTuffer;10;;15,63;10,84;
296;06/11/2016;13:30:00;OudeTuffer;10;;16,88;11,32;
297;06/11/2016;13:35:00;OudeTuffer;10;;16,25;10,94;
298;06/11/2016;13:40:00;OudeTuffer;10;;17,50;10,69;
299;06/11/2016;13:45:00;OudeTuffer;10;;17,50;10,69;
300;06/11/2016;13:50:00;OudeTuffer;10;;17,50;10,69;
301;06/11/2016;13:55:00;OudeTuffer;10;;18,13;11,32;
302;06/11/2016;14:00:00;OudeTuffer;10;;18,13;11,32;
303;06/11/2016;14:05:00;OudeTuffer;10;;18,75;11,57;
304;06/11/2016;14:10:00;OudeTuffer;5;;18,13;12,23;
305;06/11/2016;14:15:00;OudeTuffer;5;;18,13;12,23;
306;06/11/2016;14:20:00;OudeTuffer;5;;17,50;12,82;
307;06/11/2016;14:25:00;OudeTuffer;5;;18,13;12,80;
308;06/11/2016;14:30:00;OudeTuffer;5;;18,13;12,80;
309;06/11/2016;14:35:00;OudeTuffer;5;;18,13;12,80;
310;06/11/2016;14:40:00;OudeTuffer;5;;18,75;12,17;
311;06/11/2016;14:45:00;OudeTuffer;5;;18,75;12,17;
312;06/11/2016;14:50:00;OudeTuffer;5;;18,75;12,17;
313;06/11/2016;14:55:00;OudeTuffer;5;;18,75;12,17;
314;06/11/2016;15:00:00;OudeTuffer;5;;18,13;11,63;
315;06/11/2016;15:05:00;OudeTuffer;0;;17,50;12,54;
316;06/11/2016;15:10:00;OudeTuffer;0;;17,50;12,54;
317;06/11/2016;15:15:00;OudeTuffer;5;;18,13;11,63;
318;06/11/2016;15:20:00;OudeTuffer;10;;18,75;10,94;
319;06/11/2016;15:25:00;OudeTuffer;10;;18,75;10,94;
320;06/11/2016;15:30:00;OudeTuffer;10;;19,38;11,16;
321;06/11/2016;15:35:00;OudeTuffer;10;;19,38;11,16;
322;06/11/2016;15:40:00;OudeTuffer;5;;18,13;12,23;
323;06/11/2016;15:45:00;OudeTuffer;5;;18,13;12,23;
324;06/11/2016;15:50:00;OudeTuffer;5;;18,75;12,17;
325;06/11/2016;15:55:00;OudeTuffer;0;;17,50;12,54;
326;06/11/2016;16:00:00;OudeTuffer;0;;17,50;12,54;
327;06/11/2016;16:05:00;OudeTuffer;0;;17,50;12,54;
328;06/11/2016;16:10:00;OudeTuffer;0;;17,50;12,54;
329;06/11/2016;16:15:00;OudeTuffer;0;;16,88;11,32;
330;06/11/2016;16:20:00;OudeTuffer;0;;16,88;11,32;
331;06/11/2016;16:25:00;OudeTuffer;0;;17,50;11,95;
332;06/11/2016;16:30:00;OudeTuffer;0;;16,88;11,63;
333;06/11/2016;16:35:00;OudeTuffer;0;;16,88;11,63;
334;06/11/2016;16:40:00;OudeTuffer;0;;16,88;11,63;
335;06/11/2016;16:45:00;OudeTuffer;0;;16,88;11,63;
336;06/11/2016;16:50:00;OudeTuffer;0;;15,63;9,80;
337;06/11/2016;16:55:00;OudeTuffer;0;;14,38;8,21;
338;06/11/2016;17:00:00;OudeTuffer;0;;13,75;7,91;
339;06/11/2016;17:05:00;OudeTuffer;0;;13,75;7,91;
340;06/11/2016;17:10:00;OudeTuffer;0;;12,50;7,56;
341;06/11/2016;17:15:00;OudeTuffer;0;;12,50;7,56;
342;06/11/2016;17:20:00;OudeTuffer;0;;11,88;8,43;
343;06/11/2016;17:25:00;OudeTuffer;0;;11,88;8,43;
344;06/11/2016;17:30:00;OudeTuffer;0;;8,75;8,76;
345;06/11/2016;17:35:00;OudeTuffer;0;;8,75;8,76;
346;06/11/2016;17:40:00;OudeTuffer;0;;8,75;8,76;
347;06/11/2016;17:45:00;OudeTuffer;0;;7,50;7,56;
348;06/11/2016;17:50:00;OudeTuffer;0;;6,25;6,94;
349;06/11/2016;17:55:00;OudeTuffer;0;;2,50;3,78;
350;06/11/2016;18:00:00;OudeTuffer;0;;0,00;0,00;
351;06/11/2016;18:05:00;OudeTuffer;0;;0,00;0,00;
352;06/11/2016;18:10:00;OudeTuffer;0;;0,00;0,00;
353;06/11/2016;18:15:00;OudeTuffer;0;;0,00;0,00;
354;06/11/2016;08:30:00;PolkaMarina;0;;0,00;0,00;
355;06/11/2016;08:35:00;PolkaMarina;0;;0,00;0,00;
356;06/11/2016;08:40:00;PolkaMarina;0;;0,00;0,00;
357;06/11/2016;08:45:00;PolkaMarina;0;;0,00;0,00;
358;06/11/2016;08:50:00;PolkaMarina;0;;0,00;0,00;
359;06/11/2016;08:55:00;PolkaMarina;0;;0,00;0,00;
360;06/11/2016;09:00:00;PolkaMarina;0;;0,00;0,00;
361;06/11/2016;09:05:00;PolkaMarina;0;;0,00;0,00;
362;06/11/2016;09:10:00;PolkaMarina;0;;0,00;0,00;
363;06/11/2016;09:15:00;PolkaMarina;0;;0,00;0,00;
364;06/11/2016;09:20:00;PolkaMarina;0;;0,00;0,00;
365;06/11/2016;09:25:00;PolkaMarina;0;;0,00;0,00;
366;06/11/2016;09:30:00;PolkaMarina;0;;0,00;0,00;
367;06/11/2016;09:35:00;PolkaMarina;0;;0,00;0,00;
368;06/11/2016;09:40:00;PolkaMarina;0;;0,00;0,00;
369;06/11/2016;09:45:00;PolkaMarina;0;;0,00;0,00;
370;06/11/2016;09:50:00;PolkaMarina;0;;0,00;0,00;
371;06/11/2016;09:55:00;PolkaMarina;0;;0,00;0,00;
372;06/11/2016;10:00:00;PolkaMarina;0;;0,00;0,00;
373;06/11/2016;10:05:00;PolkaMarina;0;;0,00;0,00;
374;06/11/2016;10:10:00;PolkaMarina;0;;0,00;0,00;
375;06/11/2016;10:15:00;PolkaMarina;0;;0,00;0,00;
376;06/11/2016;10:20:00;PolkaMarina;0;;0,63;1,77;
377;06/11/2016;10:25:00;PolkaMarina;0;;0,63;1,77;
378;06/11/2016;10:30:00;PolkaMarina;0;;1,25;2,31;
379;06/11/2016;10:35:00;PolkaMarina;0;;1,88;2,59;
380;06/11/2016;10:40:00;PolkaMarina;0;;2,50;2,67;
381;06/11/2016;10:45:00;PolkaMarina;0;;3,13;2,59;
382;06/11/2016;10:50:00;PolkaMarina;0;;3,75;3,54;
383;06/11/2016;10:55:00;PolkaMarina;0;;3,75;3,54;
384;06/11/2016;11:00:00;PolkaMarina;0;;5,00;4,63;
385;06/11/2016;11:05:00;PolkaMarina;0;;5,63;4,96;
386;06/11/2016;11:10:00;PolkaMarina;0;;6,88;5,94;
387;06/11/2016;11:15:00;PolkaMarina;0;;6,88;5,94;
388;06/11/2016;11:20:00;PolkaMarina;0;;8,13;7,53;
389;06/11/2016;11:25:00;PolkaMarina;0;;8,13;7,53;
390;06/11/2016;11:30:00;PolkaMarina;0;;8,13;7,53;
391;06/11/2016;11:35:00;PolkaMarina;0;;8,13;7,53;
392;06/11/2016;11:40:00;PolkaMarina;0;;8,13;7,53;
393;06/11/2016;11:45:00;PolkaMarina;0;;8,13;7,53;
394;06/11/2016;11:50:00;PolkaMarina;5;;9,38;6,78;
395;06/11/2016;11:55:00;PolkaMarina;5;;10,00;7,56;
396;06/11/2016;12:00:00;PolkaMarina;5;;10,00;7,56;
397;06/11/2016;12:05:00;PolkaMarina;5;;10,00;7,56;
