,date,hour,name,waiting_time,day_type
52732,2016-11-02,16:20:00,Baron1898(Singleriders),5,1
52731,2016-11-02,16:15:00,Baron1898(Singleriders),5,1
52730,2016-11-02,16:10:00,Baron1898(Singleriders),5,1
52729,2016-11-02,16:05:00,Baron1898(Singleriders),0,1
52728,2016-11-02,16:00:00,Baron1898(Singleriders),0,1
52727,2016-11-02,15:55:00,Baron1898(Singleriders),0,1
52726,2016-11-02,15:50:00,Baron1898(Singleriders),0,1
52725,2016-11-02,15:45:00,Baron1898(Singleriders),0,1
52724,2016-11-02,15:40:00,Baron1898(Singleriders),0,1
52723,2016-11-02,15:35:00,Baron1898(Singleriders),0,1
52722,2016-11-02,15:30:00,Baron1898(Singleriders),0,1
52721,2016-11-02,15:25:00,Baron1898(Singleriders),0,1
52720,2016-11-02,15:20:00,Baron1898(Singleriders),0,1
52719,2016-11-02,15:15:00,Baron1898(Singleriders),0,1
52718,2016-11-02,15:10:00,Baron1898(Singleriders),0,1
52717,2016-11-02,15:05:00,Baron1898(Singleriders),0,1
52716,2016-11-02,15:00:00,Baron1898(Singleriders),0,1
52715,2016-11-02,14:55:00,Baron1898(Singleriders),0,1
52714,2016-11-02,14:50:00,Baron1898(Singleriders),0,1
52713,2016-11-02,14:45:00,Baron1898(Singleriders),0,1
52712,2016-11-02,14:40:00,Baron1898(Singleriders),0,1
52711,2016-11-02,14:35:00,Baron1898(Singleriders),0,1
52710,2016-11-02,14:30:00,Baron1898(Singleriders),0,1
52709,2016-11-02,14:25:00,Baron1898(Singleriders),0,1
52708,2016-11-02,14:20:00,Baron1898(Singleriders),0,1
52707,2016-11-02,14:15:00,Baron1898(Singleriders),0,1
52706,2016-11-02,14:10:00,Baron1898(Singleriders),0,1
52733,2016-11-02,16:25:00,Baron1898(Singleriders),5,1
52734,2016-11-02,16:30:00,Baron1898(Singleriders),5,1
52735,2016-11-02,16:35:00,Baron1898(Singleriders),5,1
52736,2016-11-02,16:40:00,Baron1898(Singleriders),5,1
52764,2016-11-02,09:10:00,Baron1898(Frontrow),0,1
52763,2016-11-02,09:05:00,Baron1898(Frontrow),0,1
52762,2016-11-02,09:00:00,Baron1898(Frontrow),0,1
