,date,hour,name,waiting_time
325,2016-11-27,15:55:00,OudeTuffer,30
326,2016-11-27,16:00:00,OudeTuffer,30
327,2016-11-27,16:05:00,OudeTuffer,30
328,2016-11-27,16:10:00,OudeTuffer,30
329,2016-11-27,16:15:00,OudeTuffer,30
330,2016-11-27,16:20:00,OudeTuffer,30
331,2016-11-27,16:25:00,OudeTuffer,30
332,2016-11-27,16:30:00,OudeTuffer,30
333,2016-11-27,16:35:00,OudeTuffer,30
334,2016-11-27,16:40:00,OudeTuffer,30
335,2016-11-27,16:45:00,OudeTuffer,30
336,2016-11-27,16:50:00,OudeTuffer,30
337,2016-11-27,16:55:00,OudeTuffer,30
338,2016-11-27,17:00:00,OudeTuffer,30
339,2016-11-27,17:05:00,OudeTuffer,30
340,2016-11-27,17:10:00,OudeTuffer,30
341,2016-11-27,17:15:00,OudeTuffer,30
342,2016-11-27,17:20:00,OudeTuffer,30
343,2016-11-27,17:25:00,OudeTuffer,10
344,2016-11-27,17:30:00,OudeTuffer,10
345,2016-11-27,17:35:00,OudeTuffer,5
346,2016-11-27,17:40:00,OudeTuffer,5
347,2016-11-27,17:45:00,OudeTuffer,5
348,2016-11-27,17:50:00,OudeTuffer,5
349,2016-11-27,17:55:00,OudeTuffer,5
350,2016-11-27,18:00:00,OudeTuffer,5
351,2016-11-27,18:05:00,OudeTuffer,5
352,2016-11-27,18:10:00,OudeTuffer,5
353,2016-11-27,18:15:00,OudeTuffer,5
354,2016-11-27,08:30:00,PolkaMarina,0
355,2016-11-27,08:35:00,PolkaMarina,0
356,2016-11-27,08:40:00,PolkaMarina,0
357,2016-11-27,08:45:00,PolkaMarina,0
358,2016-11-27,08:50:00,PolkaMarina,0
359,2016-11-27,08:55:00,PolkaMarina,0
360,2016-11-27,09:00:00,PolkaMarina,0
361,2016-11-27,09:05:00,PolkaMarina,0
362,2016-11-27,09:10:00,PolkaMarina,0
363,2016-11-27,09:15:00,PolkaMarina,0
364,2016-11-27,09:20:00,PolkaMarina,0
365,2016-11-27,09:25:00,PolkaMarina,0
366,2016-11-27,09:30:00,PolkaMarina,0
367,2016-11-27,09:35:00,PolkaMarina,0
368,2016-11-27,09:40:00,PolkaMarina,0
369,2016-11-27,09:45:00,PolkaMarina,0
370,2016-11-27,09:50:00,PolkaMarina,0
371,2016-11-27,09:55:00,PolkaMarina,0
372,2016-11-27,10:00:00,PolkaMarina,0
373,2016-11-27,10:05:00,PolkaMarina,0
374,2016-11-27,10:10:00,PolkaMarina,0
375,2016-11-27,10:15:00,PolkaMarina,0
376,2016-11-27,10:20:00,PolkaMarina,0
377,2016-11-27,10:25:00,PolkaMarina,0
378,2016-11-27,10:30:00,PolkaMarina,0
379,2016-11-27,10:35:00,PolkaMarina,0
380,2016-11-27,10:40:00,PolkaMarina,0
381,2016-11-27,10:45:00,PolkaMarina,0
382,2016-11-27,10:50:00,PolkaMarina,0
383,2016-11-27,10:55:00,PolkaMarina,0
384,2016-11-27,11:00:00,PolkaMarina,0
385,2016-11-27,11:05:00,PolkaMarina,0
386,2016-11-27,11:10:00,PolkaMarina,0
387,2016-11-27,11:15:00,PolkaMarina,0
388,2016-11-27,11:20:00,PolkaMarina,0
389,2016-11-27,11:25:00,PolkaMarina,0
390,2016-11-27,11:30:00,PolkaMarina,0
391,2016-11-27,11:35:00,PolkaMarina,0
392,2016-11-27,11:40:00,PolkaMarina,0
393,2016-11-27,11:45:00,PolkaMarina,5
394,2016-11-27,11:50:00,PolkaMarina,5
395,2016-11-27,11:55:00,PolkaMarina,5
396,2016-11-27,12:00:00,PolkaMarina,10
397,2016-11-27,12:05:00,PolkaMarina,10
398,2016-11-27,12:10:00,PolkaMarina,10
399,2016-11-27,12:15:00,PolkaMarina,10
400,2016-11-27,12:20:00,PolkaMarina,10
401,2016-11-27,12:25:00,PolkaMarina,10
402,2016-11-27,12:30:00,PolkaMarina,10
403,2016-11-27,12:35:00,PolkaMarina,10
404,2016-11-27,12:40:00,PolkaMarina,15
405,2016-11-27,12:45:00,PolkaMarina,15
406,2016-11-27,12:50:00,PolkaMarina,15
407,2016-11-27,12:55:00,PolkaMarina,15
408,2016-11-27,13:00:00,PolkaMarina,15
409,2016-11-27,13:05:00,PolkaMarina,15
410,2016-11-27,13:10:00,PolkaMarina,15
411,2016-11-27,13:15:00,PolkaMarina,15
412,2016-11-27,13:20:00,PolkaMarina,15
413,2016-11-27,13:25:00,PolkaMarina,15
414,2016-11-27,13:30:00,PolkaMarina,15
415,2016-11-27,13:35:00,PolkaMarina,15
416,2016-11-27,13:40:00,PolkaMarina,15
417,2016-11-27,13:45:00,PolkaMarina,15
418,2016-11-27,13:50:00,PolkaMarina,15
419,2016-11-27,13:55:00,PolkaMarina,15
420,2016-11-27,14:00:00,PolkaMarina,15
421,2016-11-27,14:05:00,PolkaMarina,20
422,2016-11-27,14:10:00,PolkaMarina,20
423,2016-11-27,14:15:00,PolkaMarina,20
424,2016-11-27,14:20:00,PolkaMarina,20
425,2016-11-27,14:25:00,PolkaMarina,20
426,2016-11-27,14:30:00,PolkaMarina,20
427,2016-11-27,14:35:00,PolkaMarina,20
428,2016-11-27,14:40:00,PolkaMarina,20
429,2016-11-27,14:45:00,PolkaMarina,20
430,2016-11-27,14:50:00,PolkaMarina,20
431,2016-11-27,14:55:00,PolkaMarina,20
432,2016-11-27,15:00:00,PolkaMarina,20
433,2016-11-27,15:05:00,PolkaMarina,20
434,2016-11-27,15:10:00,PolkaMarina,20
435,2016-11-27,15:15:00,PolkaMarina,20
436,2016-11-27,15:20:00,PolkaMarina,20
437,2016-11-27,15:25:00,PolkaMarina,20
438,2016-11-27,15:30:00,PolkaMarina,20
439,2016-11-27,15:35:00,PolkaMarina,20
440,2016-11-27,15:40:00,PolkaMarina,20
441,2016-11-27,15:45:00,PolkaMarina,20
442,2016-11-27,15:50:00,PolkaMarina,20
443,2016-11-27,15:55:00,PolkaMarina,20
444,2016-11-27,16:00:00,PolkaMarina,20
445,2016-11-27,16:05:00,PolkaMarina,20
446,2016-11-27,16:10:00,PolkaMarina,20
447,2016-11-27,16:15:00,PolkaMarina,20
448,2016-11-27,16:20:00,PolkaMarina,20
449,2016-11-27,16:25:00,PolkaMarina,20
450,2016-11-27,16:30:00,PolkaMarina,20
451,2016-11-27,16:35:00,PolkaMarina,20
452,2016-11-27,16:40:00,PolkaMarina,20
453,2016-11-27,16:45:00,PolkaMarina,15
454,2016-11-27,16:50:00,PolkaMarina,15
455,2016-11-27,16:55:00,PolkaMarina,10
456,2016-11-27,17:00:00,PolkaMarina,10
457,2016-11-27,17:05:00,PolkaMarina,5
458,2016-11-27,17:10:00,PolkaMarina,5
459,2016-11-27,17:15:00,PolkaMarina,5
460,2016-11-27,17:20:00,PolkaMarina,5
461,2016-11-27,17:25:00,PolkaMarina,5
462,2016-11-27,17:30:00,PolkaMarina,5
463,2016-11-27,17:35:00,PolkaMarina,5
464,2016-11-27,17:40:00,PolkaMarina,5
465,2016-11-27,17:45:00,PolkaMarina,5
466,2016-11-27,17:50:00,PolkaMarina,5
467,2016-11-27,17:55:00,PolkaMarina,5
468,2016-11-27,18:00:00,PolkaMarina,0
469,2016-11-27,18:05:00,PolkaMarina,0
470,2016-11-27,18:10:00,PolkaMarina,0
471,2016-11-27,18:15:00,PolkaMarina,0
472,2016-11-27,08:30:00,Stoomtrein(Ruigrijk),0
473,2016-11-27,08:35:00,Stoomtrein(Ruigrijk),0
474,2016-11-27,08:40:00,Stoomtrein(Ruigrijk),0
475,2016-11-27,08:45:00,Stoomtrein(Ruigrijk),0
476,2016-11-27,08:50:00,Stoomtrein(Ruigrijk),0
477,2016-11-27,08:55:00,Stoomtrein(Ruigrijk),0
478,2016-11-27,09:00:00,Stoomtrein(Ruigrijk),0
479,2016-11-27,09:05:00,Stoomtrein(Ruigrijk),0
480,2016-11-27,09:10:00,Stoomtrein(Ruigrijk),0
481,2016-11-27,09:15:00,Stoomtrein(Ruigrijk),0
482,2016-11-27,09:20:00,Stoomtrein(Ruigrijk),0
483,2016-11-27,09:25:00,Stoomtrein(Ruigrijk),0
484,2016-11-27,09:30:00,Stoomtrein(Ruigrijk),0
485,2016-11-27,09:35:00,Stoomtrein(Ruigrijk),0
486,2016-11-27,09:40:00,Stoomtrein(Ruigrijk),0
487,2016-11-27,09:45:00,Stoomtrein(Ruigrijk),0
488,2016-11-27,09:50:00,Stoomtrein(Ruigrijk),0
489,2016-11-27,09:55:00,Stoomtrein(Ruigrijk),0
490,2016-11-27,10:00:00,Stoomtrein(Ruigrijk),0
491,2016-11-27,10:05:00,Stoomtrein(Ruigrijk),0
492,2016-11-27,10:10:00,Stoomtrein(Ruigrijk),0
493,2016-11-27,10:15:00,Stoomtrein(Ruigrijk),0
494,2016-11-27,10:20:00,Stoomtrein(Ruigrijk),0
495,2016-11-27,10:25:00,Stoomtrein(Ruigrijk),0
496,2016-11-27,10:30:00,Stoomtrein(Ruigrijk),0
497,2016-11-27,10:35:00,Stoomtrein(Ruigrijk),0
498,2016-11-27,10:40:00,Stoomtrein(Ruigrijk),0
499,2016-11-27,10:45:00,Stoomtrein(Ruigrijk),0
500,2016-11-27,10:50:00,Stoomtrein(Ruigrijk),0
501,2016-11-27,10:55:00,Stoomtrein(Ruigrijk),0
502,2016-11-27,11:00:00,Stoomtrein(Ruigrijk),0
503,2016-11-27,11:05:00,Stoomtrein(Ruigrijk),0
504,2016-11-27,11:10:00,Stoomtrein(Ruigrijk),0
505,2016-11-27,11:15:00,Stoomtrein(Ruigrijk),0
506,2016-11-27,11:20:00,Stoomtrein(Ruigrijk),0
507,2016-11-27,11:25:00,Stoomtrein(Ruigrijk),0
508,2016-11-27,11:30:00,Stoomtrein(Ruigrijk),0
509,2016-11-27,11:35:00,Stoomtrein(Ruigrijk),0
510,2016-11-27,11:40:00,Stoomtrein(Ruigrijk),0
511,2016-11-27,11:45:00,Stoomtrein(Ruigrijk),0
512,2016-11-27,11:50:00,Stoomtrein(Ruigrijk),0
513,2016-11-27,11:55:00,Stoomtrein(Ruigrijk),0
514,2016-11-27,12:00:00,Stoomtrein(Ruigrijk),0
515,2016-11-27,12:05:00,Stoomtrein(Ruigrijk),0
516,2016-11-27,12:10:00,Stoomtrein(Ruigrijk),0
517,2016-11-27,12:15:00,Stoomtrein(Ruigrijk),0
518,2016-11-27,12:20:00,Stoomtrein(Ruigrijk),0
519,2016-11-27,12:25:00,Stoomtrein(Ruigrijk),0
520,2016-11-27,12:30:00,Stoomtrein(Ruigrijk),0
521,2016-11-27,12:35:00,Stoomtrein(Ruigrijk),0
522,2016-11-27,12:40:00,Stoomtrein(Ruigrijk),0
523,2016-11-27,12:45:00,Stoomtrein(Ruigrijk),0
524,2016-11-27,12:50:00,Stoomtrein(Ruigrijk),0
525,2016-11-27,12:55:00,Stoomtrein(Ruigrijk),0
526,2016-11-27,13:00:00,Stoomtrein(Ruigrijk),0
527,2016-11-27,13:05:00,Stoomtrein(Ruigrijk),0
528,2016-11-27,13:10:00,Stoomtrein(Ruigrijk),0
529,2016-11-27,13:15:00,Stoomtrein(Ruigrijk),0
530,2016-11-27,13:20:00,Stoomtrein(Ruigrijk),0
531,2016-11-27,13:25:00,Stoomtrein(Ruigrijk),0
532,2016-11-27,13:30:00,Stoomtrein(Ruigrijk),0
533,2016-11-27,13:35:00,Stoomtrein(Ruigrijk),0
534,2016-11-27,13:40:00,Stoomtrein(Ruigrijk),0
535,2016-11-27,13:45:00,Stoomtrein(Ruigrijk),0
536,2016-11-27,13:50:00,Stoomtrein(Ruigrijk),0
537,2016-11-27,13:55:00,Stoomtrein(Ruigrijk),0
538,2016-11-27,14:00:00,Stoomtrein(Ruigrijk),0
539,2016-11-27,14:05:00,Stoomtrein(Ruigrijk),0
540,2016-11-27,14:10:00,Stoomtrein(Ruigrijk),0
541,2016-11-27,14:15:00,Stoomtrein(Ruigrijk),0
542,2016-11-27,14:20:00,Stoomtrein(Ruigrijk),0
543,2016-11-27,14:25:00,Stoomtrein(Ruigrijk),0
